Quantity good: 2000;;;;;;;;;;
Quantity bad: 155;;;;;;;;;;
Date time from: 1.1.2026 ?. 6:00:00 to: 22.1.2026 ?. 6:00:00;;;;;;;;;;
Date, time;Station number;Station Decription;Ident-Nr.;DeviceNr.;Status;Workorder number;Failure Componant;Station Number Diag.;;pass
2026.01.19 10:02:16;ICT.551;In-circuit test;2080126144246504;27011316;0;27011316-1;;;;
2026.01.19 10:02:15;ICT.551;In-circuit test;2080126144246503;27011316;0;27011316-1;;;;
2026.01.19 10:02:15;ICT.551;In-circuit test;2080126144246502;27011316;0;27011316-1;;;;
2026.01.19 10:02:14;ICT.551;In-circuit test;2080126144246501_EE1000991;27011316;1;27011316-1;"8000001,;";;;
2026.01.19 10:01:24;ICT.551;In-circuit test;2080126152943504;27011316;0;27011316-1;;;;
2026.01.19 10:01:24;ICT.551;In-circuit test;2080126152943503;27011316;0;27011316-1;;;;
2026.01.19 10:01:23;ICT.551;In-circuit test;2080126152943502_EE1000990;27011316;1;27011316-1;"8000001,;";;;
2026.01.19 10:01:23;ICT.551;In-circuit test;2080126152943501;27011316;0;27011316-1;;;;
2026.01.19 10:00:34;ICT.551;In-circuit test;2080126144856504;27011316;0;27011316-1;;;;
2026.01.19 10:00:33;ICT.551;In-circuit test;2080126144856503;27011316;0;27011316-1;;;;
2026.01.19 10:00:33;ICT.551;In-circuit test;2080126144856502;27011316;0;27011316-1;;;;
2026.01.19 10:00:33;ICT.551;In-circuit test;2080126144856501;27011316;0;27011316-1;;;;
2026.01.19 09:59:40;ICT.551;In-circuit test;2080126144735504;27011316;0;27011316-1;;;;1990
2026.01.19 09:59:39;ICT.551;In-circuit test;2080126144735503;27011316;0;27011316-1;;;;0
2026.01.19 09:59:39;ICT.551;In-circuit test;2080126144735502;27011316;0;27011316-1;;;;
2026.01.19 09:59:39;ICT.551;In-circuit test;2080126144735501;27011316;0;27011316-1;;;;
2026.01.19 09:58:46;ICT.551;In-circuit test;2080126144816504;27011316;0;27011316-1;;;;
2026.01.19 09:58:46;ICT.551;In-circuit test;2080126144816503;27011316;0;27011316-1;;;;
2026.01.19 09:58:46;ICT.551;In-circuit test;2080126144816502;27011316;0;27011316-1;;;;
2026.01.19 09:58:45;ICT.551;In-circuit test;2080126144816501;27011316;0;27011316-1;;;;
2026.01.19 09:57:53;ICT.551;In-circuit test;2080126144407504;27011316;0;27011316-1;;;;
2026.01.19 09:57:53;ICT.551;In-circuit test;2080126144407503;27011316;0;27011316-1;;;;
2026.01.19 09:57:53;ICT.551;In-circuit test;2080126144407502;27011316;0;27011316-1;;;;
2026.01.19 09:57:52;ICT.551;In-circuit test;2080126144407501;27011316;0;27011316-1;;;;
2026.01.19 09:57:01;ICT.551;In-circuit test;2080126144449504;27011316;0;27011316-1;;;;
2026.01.19 09:57:00;ICT.551;In-circuit test;2080126144449503;27011316;0;27011316-1;;;;
2026.01.19 09:57:00;ICT.551;In-circuit test;2080126144449502;27011316;0;27011316-1;;;;
2026.01.19 09:57:00;ICT.551;In-circuit test;2080126144449501;27011316;0;27011316-1;;;;
2026.01.19 09:56:08;ICT.551;In-circuit test;2080126144611504;27011316;0;27011316-1;;;;
2026.01.19 09:56:07;ICT.551;In-circuit test;2080126144611503;27011316;0;27011316-1;;;;
2026.01.19 09:56:07;ICT.551;In-circuit test;2080126144611502;27011316;0;27011316-1;;;;
2026.01.19 09:56:07;ICT.551;In-circuit test;2080126144611501;27011316;0;27011316-1;;;;
2026.01.19 09:55:15;ICT.551;In-circuit test;2080126144327504;27011316;0;27011316-1;;;;
2026.01.19 09:55:14;ICT.551;In-circuit test;2080126144327503;27011316;0;27011316-1;;;;
2026.01.19 09:55:14;ICT.551;In-circuit test;2080126144327502;27011316;0;27011316-1;;;;
2026.01.19 09:55:14;ICT.551;In-circuit test;2080126144327501;27011316;0;27011316-1;;;;
2026.01.19 09:51:44;ICT.551;In-circuit test;2080126144530504;27011316;0;27011316-1;;;;
2026.01.19 09:51:44;ICT.551;In-circuit test;2080126144530503;27011316;0;27011316-1;;;;
2026.01.19 09:51:43;ICT.551;In-circuit test;2080126144530502;27011316;0;27011316-1;;;;
2026.01.19 09:51:29;ICT.551;In-circuit test;2080126144530501;27011316;0;27011316-1;;;;
2026.01.16 12:42:30;ICT.551;In-circuit test;2111025013742504;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:42:30;ICT.551;In-circuit test;2111025013742503;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:42:30;ICT.551;In-circuit test;2111025013742502;27367343;0;27367343_G65LHCID_01;;;;0
2026.01.16 12:42:30;ICT.551;In-circuit test;2111025013742501;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:41:03;ICT.551;In-circuit test;2111025014917504;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:41:03;ICT.551;In-circuit test;2111025014917503;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:41:03;ICT.551;In-circuit test;2111025014917502;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:41:03;ICT.551;In-circuit test;2111025014917501;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:39:16;ICT.551;In-circuit test;2111025012619504;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:39:15;ICT.551;In-circuit test;2111025012619503;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:39:15;ICT.551;In-circuit test;2111025012619502;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:39:14;ICT.551;In-circuit test;2111025012619501;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:38:17;ICT.551;In-circuit test;2191225091542504;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:38:17;ICT.551;In-circuit test;2191225091542503;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:38:17;ICT.551;In-circuit test;2191225091542502;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:38:16;ICT.551;In-circuit test;2191225091542501;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:32:42;ICT.551;In-circuit test;2060126092548504;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:32:41;ICT.551;In-circuit test;2060126092548503;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:32:41;ICT.551;In-circuit test;2060126092548502;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:32:40;ICT.551;In-circuit test;2060126092548501;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:31:43;ICT.551;In-circuit test;2060126115325504;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:31:42;ICT.551;In-circuit test;2060126115325503;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:31:42;ICT.551;In-circuit test;2060126115325502;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:31:42;ICT.551;In-circuit test;2060126115325501;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:30:45;ICT.551;In-circuit test;2060126113950504;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:30:44;ICT.551;In-circuit test;2060126113950503;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:30:44;ICT.551;In-circuit test;2060126113950502;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:30:44;ICT.551;In-circuit test;2060126113950501;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:29:42;ICT.551;In-circuit test;2070126203940504;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:29:42;ICT.551;In-circuit test;2070126203940503;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:29:42;ICT.551;In-circuit test;2070126203940502;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:29:41;ICT.551;In-circuit test;2070126203940501;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:28:44;ICT.551;In-circuit test;2060126092415504;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:28:44;ICT.551;In-circuit test;2060126092415503;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:28:44;ICT.551;In-circuit test;2060126092415502;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:28:44;ICT.551;In-circuit test;2060126092415501;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:18:13;ICT.551;In-circuit test;2060126103837504;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:18:13;ICT.551;In-circuit test;2060126103837503_EE0FC4B4A;27367343;1;27367343_G65LHCID_01;;;;
2026.01.16 12:18:12;ICT.551;In-circuit test;2060126103837502;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:18:12;ICT.551;In-circuit test;2060126103837501;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:17:24;ICT.551;In-circuit test;2070126202958504;27367343;1;27367343_G65LHCID_01;"8000001,;8000001,;8000001,;8000001,;8000001,;";;;
2026.01.16 12:17:24;ICT.551;In-circuit test;2070126202958503;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:17:24;ICT.551;In-circuit test;2070126202958502;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:17:24;ICT.551;In-circuit test;2070126202958501;27367343;0;27367343_G65LHCID_01;;;;
2026.01.16 12:16:34;ICT.551;In-circuit test;2070126202848504;27367343;0;27367343_G65LHCID_01;;;;
